product_name,category,product_type,brand,review_text,star_rating,price,review_date,sentiment,sentiment_score
GlowCare Face Wash,Beauty & Personal Care,Face Wash,GlowCare,I am happy with the purchase and would recommend it.,4,14.99,2026-02-20,POSITIVE,0.7
The Last Clue,Books,Mystery,StoryHouse,Decent quality but I expected slightly more.,3,18.03,2026-04-19,NEUTRAL,0.5
ViewPlus 27,Electronics,Monitor,ViewPlus,The quality is excellent and the product is easy to use.,5,263.72,2026-01-15,POSITIVE,0.8
The Silent Planet,Books,Science Fiction,Nova Books,The product is okay but there is room for improvement.,3,16.04,2026-03-15,NEUTRAL,0.5
GlowCare Face Wash,Beauty & Personal Care,Face Wash,GlowCare,The quality is excellent and the product is easy to use.,5,14.63,2026-03-12,POSITIVE,0.8
PureSkin Cleanser,Beauty & Personal Care,Face Wash,PureSkin,Works very well and feels durable.,4,19.76,2026-01-31,POSITIVE,0.6
SoundWave Buds Pro,Electronics,Wireless Earbuds,SoundWave,A good product with useful features.,4,78.74,2026-07-22,POSITIVE,0.7
BreezeCool Mini,Home Appliances,Air Cooler,BreezeCool,Average experience. It works as expected.,3,199.22,2026-07-17,NEUTRAL,0.5
GlowCare Face Wash,Beauty & Personal Care,Face Wash,GlowCare,Absolutely satisfied with this purchase.,5,15.38,2026-02-03,POSITIVE,0.6
SoftGlow Lotion,Beauty & Personal Care,Body Lotion,SoftGlow,"The product works, but I noticed several problems.",2,15.89,2026-05-27,NEGATIVE,0.7
The Last Clue,Books,Mystery,StoryHouse,"Not bad for the price, but nothing exceptional.",3,17.72,2026-02-09,NEGATIVE,0.7
RunMax Trainers,Fashion,Sneakers,RunMax,The product did not work as expected.,1,90.38,2026-04-28,NEGATIVE,0.6
BrewMaster X2,Home Appliances,Coffee Maker,BrewMaster,The product is okay but there is room for improvement.,3,162.57,2026-02-22,NEUTRAL,0.5
SprintRun Bottle,Sports & Fitness,Water Bottle,SprintRun,Great value for money. I would definitely recommend it.,5,18.99,2026-05-18,POSITIVE,0.9
MegaTab S8,Electronics,Tablet,MegaTech,A good product with useful features.,4,365.79,2026-01-27,POSITIVE,0.7
DustAway Smart,Home Appliances,Robot Vacuum,DustAway,Really good product with only a few minor issues.,4,400.46,2026-07-02,POSITIVE,0.6
RunMax Trainers,Fashion,Sneakers,RunMax,The product is okay but there is room for improvement.,3,92.05,2026-06-09,NEUTRAL,0.5
ClassicFit Hoodie,Fashion,Hoodie,ClassicFit,"There are some useful features, but several things need improvement.",2,43.49,2026-05-08,NEGATIVE,0.6
Mindful Living,Books,Self Help,BrightMind,The quality is excellent and the product is easy to use.,5,13.5,2026-04-08,POSITIVE,0.8
UltraView 24,Electronics,Monitor,UltraView,Great value for money. I would definitely recommend it.,5,210.9,2026-07-21,POSITIVE,0.9
VisionTab 11,Electronics,Tablet,VisionTech,Good quality and performs well for the price.,4,290.06,2026-04-25,POSITIVE,0.7
UrbanFlex Sneakers,Fashion,Sneakers,UrbanFlex,I am happy with the purchase and would recommend it.,4,73.71,2026-01-17,POSITIVE,0.7
ViewPlus 27,Electronics,Monitor,ViewPlus,Average experience. It works as expected.,3,273.13,2026-02-20,NEUTRAL,0.5
FlexPro Yoga Mat,Sports & Fitness,Yoga Mat,FlexPro,Absolutely satisfied with this purchase.,5,30.36,2026-03-12,POSITIVE,0.6
FlexPro Yoga Mat,Sports & Fitness,Yoga Mat,FlexPro,Good quality and performs well for the price.,4,31.56,2026-06-03,POSITIVE,0.7
FlexPro Yoga Mat,Sports & Fitness,Yoga Mat,FlexPro,Good quality and performs well for the price.,4,29.69,2026-05-11,POSITIVE,0.7
ViewPlus 27,Electronics,Monitor,ViewPlus,Decent quality but I expected slightly more.,3,286.86,2026-03-03,NEUTRAL,0.5
ZenGrip Mat,Sports & Fitness,Yoga Mat,ZenGrip,Good quality and performs well for the price.,4,36.17,2026-02-03,POSITIVE,0.7
HydroFit Bottle,Sports & Fitness,Water Bottle,HydroFit,Decent quality but I expected slightly more.,3,23.54,2026-02-26,NEUTRAL,0.5
MegaTab S8,Electronics,Tablet,MegaTech,"The product works, but I noticed several problems.",2,373.15,2026-08-07,NEGATIVE,0.7
StreetMode Hoodie,Fashion,Hoodie,StreetMode,Very disappointing purchase and poor performance.,1,55.79,2026-05-04,NEGATIVE,0.8
IronCore Dumbbells,Sports & Fitness,Dumbbells,IronCore,Average experience. It works as expected.,3,95.98,2026-07-31,NEUTRAL,0.5
Hidden Truths,Books,Mystery,PageTurner,"Not bad for the price, but nothing exceptional.",3,16.51,2026-07-13,NEGATIVE,0.7
CoolAir Pro,Home Appliances,Air Cooler,CoolAir,Quality could be much better for this price.,2,229.45,2026-05-05,NEGATIVE,0.6
DustAway Smart,Home Appliances,Robot Vacuum,DustAway,The product is okay but there is room for improvement.,3,391.6,2026-01-06,NEUTRAL,0.5
SoftGlow Lotion,Beauty & Personal Care,Body Lotion,SoftGlow,Absolutely satisfied with this purchase.,5,16.12,2026-08-13,POSITIVE,0.6
